2026-02-22 00:01:33 +00:00: [Opportunity] Outside market hours, skipping scan
2026-02-23 19:07:36 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 19:07:41 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 19:07:43 +00:00: [Opportunity] XLP: Score 90 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 19:07:51 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 19:08:00 +00:00: [Opportunity] SLV: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_commodities]
2026-02-23 19:08:04 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 19:08:08 +00:00: [Opportunity] ETHA: Score 50 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:08:13 +00:00: [Opportunity] XLK: Score 45 (WATCH) - bearish [watchlist,etf_sectors]
2026-02-23 19:08:17 +00:00: [Opportunity] XLF: Score 80 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:08:20 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:08:22 +00:00: [Opportunity] INTC: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader]
2026-02-23 19:08:23 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 19:08:27 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 19:08:30 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 19:08:33 +00:00: [Opportunity] ORCL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 19:08:34 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:08:42 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:08:44 +00:00: [Opportunity] OPEN: Score 70 (HIGH_CONVICTION) - bearish [watchlist]
2026-02-23 19:08:46 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
2026-02-23 19:08:59 +00:00: [Opportunity] MU: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:09:08 +00:00: [Opportunity] OXY: Score 55 (TRADEABLE) - bearish [watchlist]
2026-02-23 19:09:13 +00:00: [Opportunity] CVNA: Score 80 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 19:09:18 +00:00: [Opportunity] SNDK: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 19:09:25 +00:00: [Opportunity] GOOGL: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:09:30 +00:00: [Opportunity] MRNA: Score 70 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 19:09:38 +00:00: [Opportunity] PANW: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:09:43 +00:00: [Opportunity] META: Score 65 (TRADEABLE) - bearish [watchlist]
2026-02-23 19:09:48 +00:00: [Opportunity] AAPL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 19:09:56 +00:00: [Opportunity] AMD: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:10:04 +00:00: [Opportunity] VXX: Score 40 (WATCH) - bullish [etf_volatility]
2026-02-23 19:10:10 +00:00: [Opportunity] XLV: Score 30 (WATCH) - bearish [etf_sectors]
2026-02-23 19:10:11 +00:00: [Opportunity] Results: 13 HIGH_CONVICTION, 24 TRADEABLE, 9 WATCH
2026-02-23 19:10:11 +00:00: [OpportunityDB] Saved scan: 50 opportunities, scanId=2300
2026-02-23 19:10:11 +00:00: [Opportunity] Persistence: XLP:15(HC), PYPL:15(HC), SLV:22(HC), XLF:15(HC), IBRX:19(HC), CVNA:15(HC), NVDA:22(HC), INTC:15(HC), SNDK:22(HC), XLI:15(HC), XLU:15(HC), OPEN:19(HC), MRNA:19(HC), PLTR:19(T), AMZN:19(T), MSFT:19(T), TSLA:18(T), SPY:18(T), QQQ:19(T), IWM:16(T), GLD:22(T), IBIT:15(T), ORCL:16(T), MU:20(T), GOOGL:22(T), META:7(T), AAPL:21(T), AMD:17(T), VNDA:20(T), T:11(T), NFLX:13(T), XLC:15(T), F:15(T), OXY:19(T), PANW:15(T), UNG:6(T), ETHA:15(T)
2026-02-23 19:10:11 +00:00: [Opportunity] Alerts sent: 0 (47 unique today)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated XLP (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated PYPL (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated SLV (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated XLF (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated IBRX (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated CVNA (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Skipped NVDA — manual entry protected (attempted by opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated INTC (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated SNDK (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated XLI (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated XLU (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated OPEN (source: opportunity)
2026-02-23 19:10:11 +00:00: [Watchlist] Updated MRNA (source: opportunity)
2026-02-23 19:10:11 +00:00: [Opportunity] Added 13 symbols to Bloodhound watchlist
2026-02-23 19:10:11 +00:00: [Opportunity] Scan complete in 217s. Next scan at 2026-02-23T19:11:33.953Z
2026-02-23 19:11:33 +00:00: 
2026-02-23 19:11:33 +00:00: [Opportunity] ===== SCAN #104 =====
2026-02-23 19:11:33 +00:00: [Opportunity] Time: 2026-02-23T19:11:33.954Z
2026-02-23 19:11:36 +00:00: [Opportunity] VIX: 21.13 (elevated) | SPY: 681.96 (neutral)
2026-02-23 19:11:42 +00:00: [Opportunity] Discovery: 50 symbols from [core:3, watchlist:44, volume:10, gainers:8, losers:8, nasdaq:2, extremes:2, etf_categories:21]
2026-02-23 19:11:42 +00:00: [Opportunity] Discovery: 50 symbols in 5.9s
2026-02-23 19:11:42 +00:00: [Opportunity] Analyzing 50 symbols (sequential, ~110s est)...
2026-02-23 19:11:47 +00:00: [Opportunity] T: Score 55 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:48 +00:00: [Opportunity] NFLX: Score 55 (TRADEABLE) - bearish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:50 +00:00: [Opportunity] PYPL: Score 80 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:51 +00:00: [Opportunity] PLTR: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:52 +00:00: [Opportunity] AMZN: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:53 +00:00: [Opportunity] MSFT: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:54 +00:00: [Opportunity] TSLA: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:11:55 +00:00: [Opportunity] SPY: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:11:57 +00:00: [Opportunity] QQQ: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:11:57 +00:00: [Opportunity] IWM: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:11:58 +00:00: [Opportunity] NVDA: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,nasdaq_mover]
2026-02-23 19:12:00 +00:00: [Opportunity] BAC: Score 40 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 19:12:02 +00:00: [Opportunity] XLI: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:12:04 +00:00: [Opportunity] XLC: Score 55 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 19:12:06 +00:00: [Opportunity] USO: Score 40 (WATCH) - bearish [watchlist,etf_commodities]
2026-02-23 19:12:07 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 19:12:09 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 19:12:11 +00:00: [Opportunity] XLP: Score 90 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 19:12:13 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 19:12:15 +00:00: [Opportunity] SLV: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_commodities]
2026-02-23 19:12:16 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 19:12:17 +00:00: [Opportunity] ETHA: Score 50 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:12:18 +00:00: [Opportunity] XLK: Score 45 (WATCH) - bearish [watchlist,etf_sectors]
2026-02-23 19:12:19 +00:00: [Opportunity] XLF: Score 80 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:12:19 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:12:20 +00:00: [Opportunity] INTC: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader]
2026-02-23 19:12:21 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 19:12:22 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 19:12:23 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 19:12:24 +00:00: [Opportunity] ORCL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 19:12:25 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:12:26 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:12:27 +00:00: [Opportunity] OPEN: Score 70 (HIGH_CONVICTION) - bearish [watchlist]
2026-02-23 19:12:28 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
2026-02-23 19:12:29 +00:00: [Opportunity] MU: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:12:29 +00:00: [Opportunity] OXY: Score 55 (TRADEABLE) - bearish [watchlist]
2026-02-23 19:12:30 +00:00: [Opportunity] CVNA: Score 80 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 19:12:31 +00:00: [Opportunity] SNDK: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 19:12:32 +00:00: [Opportunity] GOOGL: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:12:33 +00:00: [Opportunity] MRNA: Score 70 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 19:12:34 +00:00: [Opportunity] PANW: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:12:34 +00:00: [Opportunity] META: Score 65 (TRADEABLE) - bearish [watchlist]
2026-02-23 19:12:35 +00:00: [Opportunity] AAPL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 19:12:36 +00:00: [Opportunity] AMD: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:12:39 +00:00: [Opportunity] VXX: Score 40 (WATCH) - bullish [etf_volatility]
2026-02-23 19:12:41 +00:00: [Opportunity] XLV: Score 30 (WATCH) - bearish [etf_sectors]
2026-02-23 19:12:41 +00:00: [Opportunity] Results: 13 HIGH_CONVICTION, 24 TRADEABLE, 9 WATCH
2026-02-23 19:12:41 +00:00: [OpportunityDB] Saved scan: 50 opportunities, scanId=2301
2026-02-23 19:12:41 +00:00: [Opportunity] Persistence: XLP:16(HC), PYPL:16(HC), SLV:23(HC), XLF:16(HC), IBRX:20(HC), CVNA:16(HC), NVDA:23(HC), INTC:16(HC), SNDK:23(HC), XLI:16(HC), XLU:16(HC), OPEN:20(HC), MRNA:20(HC), PLTR:20(T), AMZN:20(T), MSFT:20(T), TSLA:19(T), SPY:19(T), QQQ:20(T), IWM:17(T), GLD:23(T), IBIT:16(T), ORCL:17(T), MU:21(T), GOOGL:23(T), META:8(T), AAPL:22(T), AMD:18(T), VNDA:21(T), T:12(T), NFLX:14(T), XLC:16(T), F:16(T), OXY:20(T), PANW:16(T), UNG:7(T), ETHA:16(T)
2026-02-23 19:12:41 +00:00: [Opportunity] Alerts sent: 0 (47 unique today)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated XLP (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated PYPL (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated SLV (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated XLF (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated IBRX (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated CVNA (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Skipped NVDA — manual entry protected (attempted by opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated INTC (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated SNDK (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated XLI (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated XLU (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated OPEN (source: opportunity)
2026-02-23 19:12:41 +00:00: [Watchlist] Updated MRNA (source: opportunity)
2026-02-23 19:12:41 +00:00: [Opportunity] Added 13 symbols to Bloodhound watchlist
2026-02-23 19:12:41 +00:00: [Opportunity] Scan complete in 68s. Next scan at 2026-02-23T19:16:33.954Z
2026-02-23 19:16:33 +00:00: 
2026-02-23 19:16:33 +00:00: [Opportunity] ===== SCAN #105 =====
2026-02-23 19:16:33 +00:00: [Opportunity] Time: 2026-02-23T19:16:33.954Z
2026-02-23 19:16:34 +00:00: [Opportunity] VIX: 21.13 (elevated) | SPY: 681.78 (neutral)
2026-02-23 19:16:35 +00:00: [Opportunity] Discovery: 50 symbols from [core:3, watchlist:44, volume:10, gainers:8, losers:8, nasdaq:2, extremes:2, etf_categories:21]
2026-02-23 19:16:35 +00:00: [Opportunity] Discovery: 50 symbols in 1.4s
2026-02-23 19:16:35 +00:00: [Opportunity] Analyzing 50 symbols (sequential, ~110s est)...
2026-02-23 19:16:36 +00:00: [Opportunity] NFLX: Score 55 (TRADEABLE) - bearish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:37 +00:00: [Opportunity] ORCL: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:38 +00:00: [Opportunity] PYPL: Score 80 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:38 +00:00: [Opportunity] PLTR: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:39 +00:00: [Opportunity] AMZN: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:40 +00:00: [Opportunity] MSFT: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:41 +00:00: [Opportunity] TSLA: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:16:42 +00:00: [Opportunity] SPY: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:16:43 +00:00: [Opportunity] QQQ: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:16:44 +00:00: [Opportunity] IWM: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:16:44 +00:00: [Opportunity] NVDA: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,nasdaq_mover]
2026-02-23 19:16:45 +00:00: [Opportunity] BAC: Score 40 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 19:16:46 +00:00: [Opportunity] XLI: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:16:48 +00:00: [Opportunity] XLC: Score 55 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 19:16:49 +00:00: [Opportunity] USO: Score 40 (WATCH) - bearish [watchlist,etf_commodities]
2026-02-23 19:16:49 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 19:16:50 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 19:16:51 +00:00: [Opportunity] XLP: Score 90 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 19:16:52 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 19:16:53 +00:00: [Opportunity] SLV: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_commodities]
2026-02-23 19:16:54 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 19:16:55 +00:00: [Opportunity] ETHA: Score 50 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:16:56 +00:00: [Opportunity] XLK: Score 45 (WATCH) - bearish [watchlist,etf_sectors]
2026-02-23 19:16:57 +00:00: [Opportunity] XLF: Score 80 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:16:58 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:16:58 +00:00: [Opportunity] INTC: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader]
2026-02-23 19:16:59 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 19:17:00 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 19:17:01 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 19:17:02 +00:00: [Opportunity] T: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:03 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:03 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:04 +00:00: [Opportunity] OPEN: Score 70 (HIGH_CONVICTION) - bearish [watchlist]
2026-02-23 19:17:05 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
2026-02-23 19:17:06 +00:00: [Opportunity] MU: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:07 +00:00: [Opportunity] OXY: Score 55 (TRADEABLE) - bearish [watchlist]
2026-02-23 19:17:07 +00:00: [Opportunity] CVNA: Score 80 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 19:17:08 +00:00: [Opportunity] SNDK: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 19:17:09 +00:00: [Opportunity] GOOGL: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:10 +00:00: [Opportunity] MRNA: Score 70 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 19:17:11 +00:00: [Opportunity] PANW: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:12 +00:00: [Opportunity] META: Score 65 (TRADEABLE) - bearish [watchlist]
2026-02-23 19:17:12 +00:00: [Opportunity] AAPL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 19:17:13 +00:00: [Opportunity] AMD: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:17:15 +00:00: [Opportunity] VXX: Score 40 (WATCH) - bullish [etf_volatility]
2026-02-23 19:17:17 +00:00: [Opportunity] XLV: Score 30 (WATCH) - bearish [etf_sectors]
2026-02-23 19:17:17 +00:00: [Opportunity] Results: 13 HIGH_CONVICTION, 24 TRADEABLE, 9 WATCH
2026-02-23 19:17:17 +00:00: [OpportunityDB] Saved scan: 50 opportunities, scanId=2302
2026-02-23 19:17:17 +00:00: [Opportunity] Persistence: XLP:17(HC), PYPL:17(HC), SLV:24(HC), XLF:17(HC), IBRX:21(HC), CVNA:17(HC), NVDA:24(HC), INTC:17(HC), SNDK:24(HC), XLI:17(HC), XLU:17(HC), OPEN:21(HC), MRNA:21(HC), ORCL:18(T), PLTR:21(T), AMZN:21(T), MSFT:21(T), TSLA:20(T), SPY:20(T), QQQ:21(T), IWM:18(T), GLD:24(T), IBIT:17(T), MU:22(T), GOOGL:24(T), META:9(T), AAPL:23(T), AMD:19(T), VNDA:22(T), NFLX:15(T), XLC:17(T), T:13(T), F:17(T), OXY:21(T), PANW:17(T), UNG:8(T), ETHA:17(T)
2026-02-23 19:17:17 +00:00: [Opportunity] Alerts sent: 0 (47 unique today)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated XLP (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated PYPL (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated SLV (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated XLF (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated IBRX (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated CVNA (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Skipped NVDA — manual entry protected (attempted by opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated INTC (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated SNDK (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated XLI (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated XLU (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated OPEN (source: opportunity)
2026-02-23 19:17:17 +00:00: [Watchlist] Updated MRNA (source: opportunity)
2026-02-23 19:17:17 +00:00: [Opportunity] Added 13 symbols to Bloodhound watchlist
2026-02-23 19:17:17 +00:00: [Opportunity] Scan complete in 44s. Next scan at 2026-02-23T19:21:33.954Z
2026-02-23 19:21:33 +00:00: 
2026-02-23 19:21:33 +00:00: [Opportunity] ===== SCAN #106 =====
2026-02-23 19:21:33 +00:00: [Opportunity] Time: 2026-02-23T19:21:33.955Z
2026-02-23 19:21:34 +00:00: [Opportunity] VIX: 21.21 (elevated) | SPY: 681.58 (neutral)
2026-02-23 19:21:36 +00:00: [Opportunity] Discovery: 50 symbols from [core:3, watchlist:44, volume:10, gainers:8, losers:8, nasdaq:2, extremes:2, etf_categories:21]
2026-02-23 19:21:36 +00:00: [Opportunity] Discovery: 50 symbols in 2.0s
2026-02-23 19:21:36 +00:00: [Opportunity] Analyzing 50 symbols (sequential, ~110s est)...
2026-02-23 19:21:43 +00:00: [Opportunity] NFLX: Score 55 (TRADEABLE) - bearish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:21:46 +00:00: [Opportunity] ORCL: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:21:50 +00:00: [Opportunity] PYPL: Score 80 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:21:55 +00:00: [Opportunity] PLTR: Score 75 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:22:00 +00:00: [Opportunity] AMZN: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:22:05 +00:00: [Opportunity] MSFT: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 19:22:14 +00:00: [Opportunity] TSLA: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 19:22:24 +00:00: [Opportunity] SPY: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:22:33 +00:00: [Opportunity] QQQ: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:22:41 +00:00: [Opportunity] IWM: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 19:22:44 +00:00: [Opportunity] NVDA: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,nasdaq_mover]
2026-02-23 19:22:46 +00:00: [Opportunity] BAC: Score 45 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 19:22:50 +00:00: [Opportunity] XLI: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:22:54 +00:00: [Opportunity] XLC: Score 55 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 19:22:56 +00:00: [Opportunity] USO: Score 40 (WATCH) - bearish [watchlist,etf_commodities]
2026-02-23 19:22:58 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 19:23:02 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 19:23:04 +00:00: [Opportunity] XLP: Score 90 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 19:23:11 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 19:23:15 +00:00: [Opportunity] SLV: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 19:23:18 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 19:23:20 +00:00: [Opportunity] ETHA: Score 50 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:23:23 +00:00: [Opportunity] XLK: Score 45 (WATCH) - bearish [watchlist,etf_sectors]
2026-02-23 19:23:27 +00:00: [Opportunity] XLF: Score 80 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 19:23:32 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 19:23:35 +00:00: [Opportunity] INTC: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader]
2026-02-23 19:23:46 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 19:23:50 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 19:23:54 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 19:23:58 +00:00: [Opportunity] T: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:24:03 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:24:10 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 19:24:18 +00:00: [Opportunity] OPEN: Score 70 (HIGH_CONVICTION) - bearish [watchlist]
2026-02-23 19:24:26 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
